3.799934,8.080630,10.904995,3.799934,0
4.709593,9.733367,6.295927,4.709593,0
5.632652,12.694690,8.492099,5.632652,0
4.667280,11.484270,9.210117,4.667280,0
4.671389,11.929891,9.173586,4.671389,0
3.943260,9.282213,6.592779,3.943260,0
4.026525,10.025299,6.181896,4.026525,0
3.111951,14.306554,6.653916,3.111951,0
3.517707,9.396777,9.608003,3.517707,0
4.816176,11.349207,9.409298,4.816176,0
5.108041,14.102996,8.152741,5.108041,0
5.014976,12.555508,9.663085,5.014976,0
5.004409,12.174458,7.694851,5.004409,0
3.610713,12.890830,7.614944,3.610713,0
2.904645,4.656098,8.499830,2.904645,0
3.567757,10.795967,7.960137,3.567757,0
4.797769,13.714409,8.944027,4.797769,0
2.934819,13.668412,10.943128,2.934819,0
3.430610,12.320036,8.841156,3.430610,0
4.865334,11.110769,10.997309,4.865334,0
5.924975,14.255315,6.783107,5.924975,0
3.593944,11.415211,6.914168,3.593944,0
3.913903,17.466140,9.276020,3.913903,0
4.587217,13.850368,8.593407,4.587217,0
4.278572,17.597074,9.011793,4.278572,0
3.723157,12.914924,7.411943,3.723157,0
4.459196,12.188965,8.031496,4.459196,0
3.856601,13.359576,6.060677,3.856601,0
3.641306,12.066980,9.108501,3.641306,0
3.862925,12.917789,5.100597,3.862925,0
